,,,,계,,관광,,상용,,공용,,유학연수,,기타
년,월,대륙,국적,인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%),인원수,구성비(%)
"1995","03","아시아","태국","5,791","1.88","2,866","1.40","9","0.06","46","2.44","5","1.11","2,865","3.37"
"1995","03","아시아","베트남","1,348","0.44","153","0.07","103","0.66","13","0.69","5","1.11","1,074","1.26"
"1995","03","아시아","인도","2,698","0.88","421","0.21","503","3.20","10","0.53","2","0.44","1,762","2.07"
"1995","03","아시아","말레이시아","2,636","0.86","1,593","0.78","10","0.06","4","0.21","6","1.33","1,023","1.20"
"1995","03","아시아","싱가포르","3,033","0.99","1,722","0.84","11","0.07","4","0.21","1","0.22","1,295","1.52"
"1995","03","아시아","몽골","310","0.10","261","0.13","46","0.29","3","0.16","0","0.00","0","0.00"
"1995","03","아시아","우즈베키스탄","203","0.07","75","0.04","0","0.00","0","0.00","1","0.22","127","0.15"
"1995","03","아시아","미얀마","1,425","0.46","155","0.08","23","0.15","2","0.11","1","0.22","1,244","1.46"
"1995","03","아시아","GCC","120","0.04","93","0.05","14","0.09","1","0.05","0","0.00","12","0.01"
"1995","03","아시아","카자흐스탄","304","0.10","191","0.09","1","0.01","0","0.00","10","2.22","102","0.12"
"1995","03","아시아","터키","233","0.08","106","0.05","0","0.00","0","0.00","0","0.00","127","0.15"
"1995","03","아시아","스리랑카","220","0.07","37","0.02","34","0.22","4","0.21","0","0.00","145","0.17"
"1995","03","아시아","방글라데시","956","0.31","158","0.08","30","0.19","0","0.00","1","0.22","767","0.90"
"1995","03","아시아","파키스탄","908","0.30","271","0.13","8","0.05","3","0.16","0","0.00","626","0.74"
"1995","03","아시아","이스라엘","327","0.11","233","0.11","7","0.04","0","0.00","0","0.00","87","0.10"
"1995","03","아시아","이란","183","0.06","37","0.02","74","0.47","1","0.05","1","0.22","70","0.08"
"1995","03","아시아","아시아 기타","307","0.10","162","0.08","52","0.33","4","0.21","1","0.22","88","0.10"
"1995","03","아시아 소계","","211,466","68.79","163,074","79.78","10,183","64.81","421","22.35","338","74.94","37,450","44.08"
"1995","03","아메리카","미국","28,769","9.36","19,591","9.58","3,643","23.18","1,324","70.28","43","9.53","4,168","4.91"
"1995","03","아메리카","캐나다","2,950","0.96","2,485","1.22","56","0.36","4","0.21","6","1.33","399","0.47"
"1995","03","아메리카","브라질","713","0.23","474","0.23","7","0.04","1","0.05","1","0.22","230","0.27"
"1995","03","아메리카","멕시코","239","0.08","80","0.04","63","0.40","0","0.00","0","0.00","96","0.11"
"1995","03","아메리카","아메리카 기타","704","0.23","559","0.27","33","0.21","8","0.42","4","0.89","100","0.12"
"1995","03","아메리카 소계","","33,375","10.86","23,189","11.34","3,802","24.20","1,337","70.97","54","11.97","4,993","5.88"
"1995","03","유럽","러시아","10,458","3.40","2,858","1.40","725","4.61","11","0.58","23","5.10","6,841","8.05"
"1995","03","유럽","영국","4,294","1.40","3,172","1.55","173","1.10","6","0.32","2","0.44","941","1.11"
"1995","03","유럽","독일","3,883","1.26","2,955","1.45","190","1.21","11","0.58","7","1.55","720","0.85"
"1995","03","유럽","프랑스","1,589","0.52","1,272","0.62","87","0.55","6","0.32","1","0.22","223","0.26"
"1995","03","유럽","이탈리아","1,157","0.38","960","0.47","18","0.11","4","0.21","0","0.00","175","0.21"
"1995","03","유럽","네덜란드","1,070","0.35","648","0.32","25","0.16","1","0.05","1","0.22","395","0.46"
"1995","03","유럽","우크라이나","902","0.29","144","0.07","14","0.09","36","1.91","0","0.00","708","0.83"
"1995","03","유럽","스페인","290","0.09","241","0.12","1","0.01","1","0.05","0","0.00","47","0.06"
"1995","03","유럽","루마니아","430","0.14","10","0.00","41","0.26","0","0.00","0","0.00","379","0.45"
"1995","03","유럽","노르웨이","501","0.16","273","0.13","15","0.10","0","0.00","0","0.00","213","0.25"
"1995","03","유럽","스웨덴","635","0.21","514","0.25","20","0.13","8","0.42","1","0.22","92","0.11"
"1995","03","유럽","폴란드","1,249","0.41","773","0.38","2","0.01","0","0.00","0","0.00","474","0.56"
"1995","03","유럽","스위스","559","0.18","519","0.25","18","0.11","0","0.00","0","0.00","22","0.03"
"1995","03","유럽","포르투갈","278","0.09","210","0.10","0","0.00","0","0.00","1","0.22","67","0.08"
"1995","03","유럽","오스트리아","344","0.11","303","0.15","12","0.08","0","0.00","0","0.00","29","0.03"
"1995","03","유럽","핀란드","216","0.07","181","0.09","8","0.05","0","0.00","0","0.00","27","0.03"
"1995","03","유럽","벨기에","257","0.08","221","0.11","11","0.07","0","0.00","0","0.00","25","0.03"
"1995","03","유럽","크로아티아","172","0.06","20","0.01","2","0.01","0","0.00","0","0.00","150","0.18"
"1995","03","유럽","그리스","1,194","0.39","245","0.12","4","0.03","0","0.00","1","0.22","944","1.11"
"1995","03","유럽","불가리아","187","0.06","39","0.02","0","0.00","0","0.00","1","0.22","147","0.17"
